article_id,candidate_link_id,url,title,status,confidence,confidence_score,reason,detected_at,detector_version,source,source_name,source_city,source_county,owner,publish_date,metadata_section,metadata_subsection,metadata_keywords,evidence_title_patterns,evidence_content,evidence_json,evidence_url,evidence_title,evidence_meta_description
920e1f9a-b52f-437d-b9f8-fbc55f307101,b0618ab0-0901-4891-ab65-b2294a98208b,https://bocojo.com/obituaries/louis-r-bradley-march-26-1939-aug-12-2025/?utm_source=rss&,"Louis R. Bradley, March 26, 1939 — Aug. 12, 2025 - Boone County Journal",obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Boone County Journal,Boone County Journal,Ashland,Boone,,1939-08-12T00:00:00,,,,life_year_span,passed away; survived by,"{""url"": [""obituaries""], ""title_patterns"": [""life_year_span""], ""content"": [""passed away"", ""survived by""]}",obituaries,,
324322a1-fbb9-4221-b771-14baffab76e2,27bfe03c-48a0-41cd-8abf-56c0e93b6c0e,https://bocojo.com/obituaries/obituary-vera-jean-nora-barner-nichols/?utm_source=rss&,Obituary: Vera Jean Nora Barner Nichols,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Boone County Journal,Boone County Journal,Ashland,Boone,,2025-07-10T11:17:45-05:00,,,,,passed away,"{""title"": [""obituary""], ""url"": [""obituaries"", ""obituary""], ""content"": [""passed away""]}",obituaries; obituary,obituary,
deb5c477-ec13-4a3c-968a-ab212be6387c,0a7c13f5-ae2a-4327-840f-a302551ff8f3,https://bocojo.com/obituaries/marvin-lee-boyce-april-27-1954-september-10-2025/?utm_source=rss&,"Marvin Lee Boyce, April 27, 1954 — September 10, 2025",obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Boone County Journal,Boone County Journal,Ashland,Boone,,2025-09-17T06:00:42-05:00,,,,life_year_span,passed away; survived by,"{""url"": [""obituaries""], ""title_patterns"": [""life_year_span""], ""content"": [""passed away"", ""survived by""]}",obituaries,,
86c4081c-c111-4501-bdd0-d180b68b9fd7,d59bfde4-a4e1-4926-9c4d-a5647f8c4126,https://www.firesideguard.com/2025/09/16/obituaries/jacqueline-simpson-forrest/,JACQUELINE SIMPSON FORREST,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Centralia Fireside Guard,Centralia Fireside Guard,Centralia,Boone,,2025-09-16T00:00:00,,,,all_caps_name,passed away; survived by,"{""url"": [""obituaries""], ""title_patterns"": [""all_caps_name""], ""content"": [""passed away"", ""survived by""]}",obituaries,,
c7bb4325-ff15-4fb3-bff2-2add87c45ff7,5e6b0960-bd7e-4396-9992-dc863ef8bc5e,https://www.firesideguard.com/2025/09/17/obituaries/ruby-mae-meeks/,Centralia Fireside Guard,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Centralia Fireside Guard,Centralia Fireside Guard,Centralia,Boone,,2025-09-17T00:00:00,,,,personal_name_title,funeral service; funeral services; passed away; survived by; visitation; visitation will be,"{""url"": [""obituaries""], ""title_patterns"": [""personal_name_title""], ""content"": [""funeral service"", ""funeral services"", ""passed away"", ""survived by"", ""visitation"", ""visitation will be""]}",obituaries,,
11e3f783-9479-4132-acaf-77796c5a01b6,676ced81-da35-472d-bbfc-c28276b0bcb5,https://dailyjournalonline.com/2025/09/19/death-notices-week-of-september-17/,Death Notices: Week of September 17,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,"Daily Journal, Park Hills","Daily Journal, Park Hills",Park Hills,St. Francois,,2025-09-19T00:00:00,,,,,funeral service; funeral services,"{""title"": [""death notice"", ""death notices""], ""url"": [""death-notice""], ""content"": [""funeral service"", ""funeral services""]}",death-notice,death notice; death notices,
46a8bae5-6390-4c5c-995d-576b45bc7def,559f8c88-d5c3-424e-9029-927eb7c5d0e1,https://www.hannibal.net/obituaries/charlotte-e-rhoades/article_b306107b-4293-4a29-942a-fa651a9d1002.html,Charlotte E. Rhoades,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Hannibal Courier-Post,Hannibal Courier-Post,Hannibal,Marion,,2025-09-15T10:06:00-05:00,,,,personal_name_title,passed away,"{""url"": [""obituaries""], ""title_patterns"": [""personal_name_title""], ""content"": [""passed away""]}",obituaries,,
4bb14839-24ef-45a2-b1b5-50e8a1546281,849295bf-64e6-4b63-abbd-873658384c4c,"https://www.kirksvilledailyexpress.com/stories/obituary-anita-marie-king,27072",OBITUARY: Anita Marie King,obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Kirksville Daily Express,Kirksville Daily Express,Kirskville,Adair,,2025-09-08T00:00:00,,,,,passed away,"{""title"": [""obituary""], ""url"": [""obituary""], ""content"": [""passed away""]}",obituary,obituary,
9ac4d47d-fe83-41c9-83fe-05dd33e18f4a,34a40ae6-7ed6-486f-a8cb-e6f1fdf39c1f,"https://www.kirksvilledailyexpress.com/stories/obituary-june-olive-pierson,27180","OBITUARY: June ""Olive"" Pierson",obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Kirksville Daily Express,Kirksville Daily Express,Kirskville,Adair,,2025-09-11T00:00:00,,,,,survived by,"{""title"": [""obituary""], ""url"": [""obituary""], ""content"": [""survived by""]}",obituary,obituary,
34a10f82-849c-47ba-85f9-043cd5967644,bae44499-8a2f-44a1-bc55-f771e96b8f87,"https://www.kirksvilledailyexpress.com/stories/obituary-robert-bobby-harvey-minear,27206","OBITUARY: Robert ""Bobby"" Harvey Minear",obituary,high,0.5,matched_obituary_signals,2025-09-27T01:32:46,2025-09-27a,Kirksville Daily Express,Kirksville Daily Express,Kirskville,Adair,,2025-09-15T00:00:00,,,,,funeral service; funeral services; passed away; survived by; visitation,"{""title"": [""obituary""], ""url"": [""obituary""], ""content"": [""funeral service"", ""funeral services"", ""passed away"", ""survived by"", ""visitation""]}",obituary,obituary,
