county,outlet,category,entity_name,article_count
Audrain,The Mexico Ledger,government,City Hall,1
Boone,ABC 17 KMIZ News,businesses,Target,5
Boone,ABC 17 KMIZ News,businesses,Gulf,1
Boone,ABC 17 KMIZ News,businesses,Shell,1
Boone,ABC 17 KMIZ News,businesses,Sinclair,1
Boone,ABC 17 KMIZ News,economic,Missouri Department of Transportation,2
Boone,ABC 17 KMIZ News,economic,State Farm,2
Boone,ABC 17 KMIZ News,government,Boone County Courthouse,1
Boone,Boone County Journal,businesses,Central Bank,1
Boone,Boone County Journal,healthcare,University Hospital,1
Boone,Columbia Daily Tribune,businesses,Cafe Berlin,1
Boone,Columbia Daily Tribune,businesses,Pizza Hut,1
Boone,Columbia Daily Tribune,businesses,Shell,1
Boone,Columbia Daily Tribune,businesses,Sinclair,1
Boone,Columbia Daily Tribune,businesses,Target,1
Boone,Columbia Daily Tribune,government,Missouri School Boards Association,1
Boone,Columbia Missourian,businesses,Heidelberg,1
Boone,KBIA,businesses,Gulf,1
Boone,KBIA,government,City Hall,1
Boone,KBIA,healthcare,South Providence Medical Park,1
Buchanan,Griffon News,businesses,Pilot,1
Buchanan,Griffon News,businesses,Target,1
Buchanan,KQTV,businesses,Hy-Vee,1
Buchanan,News Press Now,businesses,Target,8
Butler,Daily American Republic,healthcare,Walgreens,1
Camden,Lake Sun Leader/Lake News Online,government,Camdenton,1
Cape Giradeau/Scott,KRCU,businesses,Target,2
Cape Girardeau,Southeast Missourian,businesses,Target,4
Cape Girardeau,Southeast Missourian,healthcare,Walgreens,1
Cass,Cass County News/The North Cass Herald,businesses,Story,3
Cass,Cass County News/The North Cass Herald,businesses,Rise,2
Cass,Cass County News/The North Cass Herald,businesses,The American,2
Cass,Cass County News/The North Cass Herald,businesses,Price Chopper,1
Cass,Cass County News/The North Cass Herald,businesses,QuikTrip,1
Cass,Cass County News/The North Cass Herald,businesses,Quiktrip,1
Cass,Cass County News/The North Cass Herald,businesses,Target,1
