name,book_name,host,url,office_city,serves_city,county,owner,publisher,editor,address,telephone,editorial_email,schedule,already_have_sibling
Appleton City Journal,APPLETON CITY JOURNAL,www.stclaircourier.com,www.stclaircourier.com/,Osceola,Appleton City,St. Clair,Trevor Vernon,Trevor Vernon,Brandy Bourland,"285 Pine, PO Box 580, Osceola 64776",(417) 646-2211,sacosagenews@centurytel.net,Fri.,
Chariton Marquee,CHARITON MARQUEE,www.charitonmarquee.com,www.charitonmarquee.com,Salisbury,Salem,Chariton,Melanie Latamondeer,Melanie Latamondeer,,"110 E. Second St., Salisbury 65281",(660) 388-6131,editor@charitonmarquee.com,Wed.,
"Clinton County Leader, Plattsburg","CLINTON COUNTY LEADER, PLATTSBURG",www.clintoncountyleader.com,www.clintoncountyleader.com,Plattsburg,Plattsburg,Clinton,Jamey & D’Anna Honeycutt,Jamey & D’Anna Honeycutt,Brett Adkison,"102 E. Maple St., Plattsburg 64477",(816) 539-2111,leader@clintoncountyleader.com,Tues.,
Hermitage Index,HERMITAGE INDEX,www.hermitageindex.com,www.hermitageindex.com,Hermitage,Hermitage,Hickory,Trevor Vernon,Trevor Vernon,,"23638 Polk St., PO Box 127, Hermitage 65668",(417) 745-6404,theindex1885@vernonpublishing.com,Wed.,
Kahoka Hometown Journal,KAHOKA HOMETOWN JOURNAL,www.htjournal.net,www.htjournal.net,Kahoka,Kahoka,Clark,Joe & Lisa Roberts,Joe & Lisa Roberts,Joe Roberts,"258 W. Main St., Kahoka 63445",(660) 727-3383,htjournal91@gmail.com,Tues.,
Ralls County Herald-Enterprise,RALLS CO HERALD-ENTERPRISE,www.monroe-ralls.com,www.monroe-ralls.com,Paris,New London,Monroe,Robin Gregg,Robin Gregg,Robin Gregg,"221 N. Main St., PO Box 207, Paris 65275",(573) 985-3420,robingregg@monroecountyappeal.com,Thurs.,"serves MONROE COUNTY APPEAL too — one domain, two mastheads"
Springfield Business Journal,SPRINGFIELD BUSINESS JOURNAL,www.sbj.net,www.sbj.net,Springfield,Springfield,Greene,Marty Goodnight,Marty Goodnight,Christine Temple,"2101 W. Chesterfield Blvd., Ste. B105, PO Box 1365,, Springfield 65807",(417) 831-3238,sbj@sbj.net,Mon.,
Tipton Times,TIPTON TIMES,www.tiptontimes.com,www.tiptontimes.com,Tipton,Tipton,Moniteau,Trevor Vernon,Trevor Vernon,Becky Holloway,"113 E. Morgan St., PO Box U, Tipton 65081",(660) 433-5721,times@vernonpublishing.com,Thurs.,
Tribune And Times,TRIBUNE AND TIMES,www.tribuneandtimes.com,www.tribuneandtimes.com,Harrisonville,Harrisonville,Cass,Dennis Minich,Dennis Minich,James Gillespie,"305 W. Wall St. #C, PO Box 275, Harrisonville 64701",(816) 793-0540,news@tribuneandtimes.com,Thurs.,
West & Mid Rivers Newsmagazine,WEST & MID RIVERS NEWSMAGAZINE,www.westnewsmagazine.com,www.westnewsmagazine.com,Chesterfield,Chesterfield,St. Louis,Tim Weber,Tim Weber,Kate Uptergrove,"754 Spirit 40 Park Dr., Chesterfield 63005",(636) 591-0010,editor@newsmagazinenetwork.com,Bi-Monthly on Wed.,midriversnewsmagazine.com (Mid Rivers Newsmagazine)
