name,city,url,website_status,host,publisher,editor,address,telephone
TRI-COUNTY LEDGER,Albany,,,,Matthew Pearl,Matthew Pearl,"110 E. Vermont St., PO Box 428, King City 64463",(660) 535-4313
APPLETON CITY JOURNAL,Appleton City,www.stclaircourier.com/,,www.stclaircourier.com,Trevor Vernon,Brandy Bourland,"285 Pine, PO Box 580, Osceola 64776",(417) 646-2211
JASPER COUNTY CITIZEN,Carl Junction,,,,Paul E. Donley,Paul E. Donley,"101 N. Sixth St., PO Box 400, Sarcoxie 64862",(417) 548-3311
CARROLLTON DEMOCRAT,Carrollton,www.mainstreetnewsgroup.com/thecarrolltondemocrat,404,www.mainstreetnewsgroup.com,Frank W. Mercer,Janet Zullig,"102 E. Benton St., PO Box 69, Carrollton 64633",(660) 542-0881
CHARLESTON ENTERPRISE-COURIER,Charleston,www.enterprisecourier.com,Replica,www.enterprisecourier.com,Carlin Bennett,Adam Rhodes,"101 E. Main St., East Prairie 63845",(573) 649-9500
WEST & MID RIVERS NEWSMAGAZINE,Chesterfield,www.westnewsmagazine.com,,www.westnewsmagazine.com,Tim Weber,Kate Uptergrove,"754 Spirit 40 Park Dr., Chesterfield 63005",(636) 591-0010
"CONCORDIAN, THE",Concordia,,,,Kathryn Dohrman,Kathryn Dohrman,"607 S. Main St., Ste. B, PO Box 658, Concordia 64020",(660) 463-7522
CRANE CHRONICLE/STONE COUNTY REPUBLICAN,Crane,www.cc-scrnews.com,404,www.cc-scrnews.com,Karen Fioretti,AJ Fahr,"114 Main St., PO Box 401, Crane 65633",(417) 723-5248
EAST PRAIRIE EAGLE,East Prairie,www.enterprisecourier.com,Replica,www.enterprisecourier.com,Carlin Bennett,Adam Rhodes,"101 E. Main St., East Prairie 63845",(573) 649-9500
"STAR, THE",El Dorado Springs,,,,James Belk,James Belk,"105 S. Main St., PO Box 269, El Dorado Springs 64744",(417) 876-2500
ELDON ADVERTISER,Eldon,,,,Trevor Vernon,Tim Flora,"eldonadvertiser.com, 415 S. Maple St., PO Box 315, Eldon 65026",(573) 392-5658
GLASGOW MISSOURIAN,Glasgow,www.mainstreetnewsgroup.com/theglasgowmissourian,404,www.mainstreetnewsgroup.com,Frank Mercer,Mike Heying,"109 Market St., Glasgow 65254",(660) 338-2195
HALE HORIZONS,Hale,,,,Cindy Corf,Robert Corf,"29236 Hwy. J, PO Box 36, Hale 64643",(660) 565-2555
TRIBUNE AND TIMES,Harrisonville,www.tribuneandtimes.com,,www.tribuneandtimes.com,Dennis Minich,James Gillespie,"305 W. Wall St. #C, PO Box 275, Harrisonville 64701",(816) 793-0540
HERMITAGE INDEX,Hermitage,www.hermitageindex.com,,www.hermitageindex.com,Trevor Vernon,,"23638 Polk St., PO Box 127, Hermitage 65668",(417) 745-6404
"COUNTIAN JEFFERSON, THE",Hillsboro,,,,Johnny Aguirre,Jordan Yount,"mlmcounties.com/news/jefferson-county, 10626 Hwy. 21, Ste. B, Hillsboro 63050",(636) 789-5853
JEFFERSON COUNTY REPORTER,Hillsboro,,,,Shannon Grindinger,Pamela Wingo,"284 Main St., Hillsboro 63050",(816) 221-2552
KAHOKA HOMETOWN JOURNAL,Kahoka,www.htjournal.net,,www.htjournal.net,Joe & Lisa Roberts,Joe Roberts,"258 W. Main St., Kahoka 63445",(660) 727-3383
TRI-COUNTY LEDGER,King City,,,,Matthew Pearl,Matthew Pearl,"110 E. Vermont St., PO Box 498, King City 64463",(660) 535-4313
LAWSON REVIEW,Lawson,www.facebook.com/lawsonreview1979,Social,www.facebook.com,Anita Duncan,Anita Duncan,"405 N. Pennsylvania Ave., PO Box 125, Lawson 64062",(816) 296-3412
LEXINGTON NEWS,Lexington,www.mainstreetnewsgroup.com/thelexingtonnews,404,www.mainstreetnewsgroup.com,Frank Mercer,Joe Parmon,"1009 Franklin Ave., PO Box 279, Lexington 64067",(660) 259-2266
COURIER TRIBUNE/GLADSTONE DISPATCH,Liberty,,,,Jeremy Gulban,Amanda Lubinski,"mycouriertribune.com, 104 N. Main St., Liberty 64068",(816) 781-4941
"NODAWAY NEWS LEADER, MARYVILLE",Maryville,www.nodawaynews.com,404,www.nodawaynews.com,Kay Wilson,Kay Wilson,"116 E. Third, PO Box 373, Maryville 64468",(660) 562-4747
DEKALB CO. RECORD-HERALD,Maysville,,,,Terry Pearl,Chrissy Stefano,"508 S. Polk St., PO Box 98, Maysville 64469",(816) 449-2121
MOUND CITY NEWS,Mound City,www.moundcitynews.com,Replica,www.moundcitynews.com,Adam Johnson,Dennis Sharkey,"18121 Hwy. 59, PO Box 175, Mound City 64470",(660) 442-5423
"NEWTON COUNTY NEWS, NEOSHO",Neosho,,,,Chad Hayworth,Chad Hayworth,"15647 Hammer Rd., Neosho 64850",(417) 455-6901
RALLS CO HERALD-ENTERPRISE,New London,www.monroe-ralls.com,,www.monroe-ralls.com,Robin Gregg,Robin Gregg,"221 N. Main St., PO Box 207, Paris 65275",(573) 985-3420
FOCUS ON OAK GROVE,Oak Grove,www.theodessan.net,Print,www.theodessan.net,John & Joe Spaar,Ruth Ann Hafner,"103 SE 12th St., Oak Grove 64075",(816) 690-7218
ODESSA ODESSAN,Odessa,www.theodessan.net,Print,www.theodessan.net,John & Joe Spaar,Hannah Spaar,"212 Mason St., Odessa 64076",(816) 230-5311
OSCEOLA ST. CLAIR COUNTY COURIER,Osceola,,,,Trevor Vernon,Brandy Bourland,"285 Pine St., PO Box 580, Osceola 64776",(417) 646-2211
MONROE COUNTY APPEAL,Paris,www.monroe-ralls.com,See: RALLS CO HERALD-ENTERPRISE,www.monroe-ralls.com,Robin Gregg,Robin Gregg,"209 N. Main St., Paris 65275",(660) 462-6937
"CLINTON COUNTY LEADER, PLATTSBURG",Plattsburg,www.clintoncountyleader.com,,www.clintoncountyleader.com,Jamey & D’Anna Honeycutt,Brett Adkison,"102 E. Maple St., Plattsburg 64477",(816) 539-2111
