name,city,cities,host,url,address,telephone,fax,editorial_email,publisher,editor,other_roles,schedule,affiliation
TRI-COUNTY LEDGER,Albany,Albany; King City,,,"110 E. Vermont St., PO Box 428, King City 64463",(660) 535-4313,,news@tricounty.net,Matthew Pearl,Matthew Pearl,,Fri.,Dem
APPLETON CITY JOURNAL,Appleton City,Appleton City,www.stclaircourier.com,www.stclaircourier.com/,"285 Pine, PO Box 580, Osceola 64776",(417) 646-2211,,sacosagenews@centurytel.net,Trevor Vernon,Brandy Bourland,,Fri.,Rep
ARNOLD-IMPERIAL LEADER,Arnold,Arnold,www.myleaderpaper.com,www.myleaderpaper.com,"503 N. Second St., PO Box 159, Festus 63028",(636) 937-7501,,news@leaderpublications.biz,Pam LaPlant,Kim Robertson,,Thurs.,NP
BOONE COUNTY JOURNAL,Ashland,Ashland,www.bocojo.com,www.bocojo.com,"201 S. Henry Clay, PO Box 197, Ashland 65010",(573) 657-2334,,bocojoreporter@gmail.com,Tara Blue,,,Wed.,Rep
"AURORA ADVERTISER, THE",Aurora,Aurora,www.auroraadvertiser.net,www.auroraadvertiser.net,"212 E. Main St., Neosho 64850",(417) 451-1520,,news@auroraadvertiser.net,Jimmy Sexton,,,Fri.,NP
DOUGLAS COUNTY HERALD,Ava,Ava,www.douglascountyherald.com,www.douglascountyherald.com,"302 E. Washington, PO Box 577, Ava 65608",(417) 683-4181,,,Scott Hoskins,Kim Combs,,Thurs.,Rep
MARIES COUNTY ADVOCATE,Belle,Belle; Vienna,www.mariescountyadvocate.com,www.mariescountyadvocate.com,"1110 Hwy. 28, Unit B, PO Box 540, Belle 65013",(573) 437-2323 (Belle); (573) 422-6323 (Vienna),,news@wardpub.com,Dennis Warden,Dave Marner,,Wed.,Rep
NORTH CASS HERALD,Belton,Belton,www.northcassherald.com,www.northcassherald.com,"120 N. Main, Belton 64033",(816) 322-2375,,allen@northcassherald.com,Laurie Bassett,Allen Edmonds,,Fri,NP
BETHANY REPUBLICAN-CLIPPER,Bethany,Bethany,www.bethanyclipper.com,www.bethanyclipper.com,"202 N. 16th St., PO Box 351, Bethany 64424",(660) 425-6325,(660) 425-3441,news1@grm.net,Phillip G. Conger,Phillip G. Conger,,Wed.,Rep
BOLIVAR HERALD-FREE PRESS,Bolivar,Bolivar,www.bolivarmonews.com,www.bolivarmonews.com,"335 S. Springfield Ave., PO Box 330, Bolivar 65613",(417) 326-7636,,news@bolivarmonews.com,Deanna Moore,,,Wed. & Fri.,Rep
BOONVILLE NEWS,Boonville,Boonville,www.boonvilledailynews.com,www.boonvilledailynews.com,"301 Main St., PO Box 47, Boonville 65233",(660) 774-4183,,news@boonvilledailynews.com,Jeremy Gulban,,Reporter: Chris Bowie,Wed. & Fri.,NP
PIKE COUNTY NEWS,Bowling Green,Bowling Green; Louisiana,www.pikecountynews.com,www.pikecountynews.com,"106 W. Main St., PO Box 110, Bowling Green 63334",(573) 324-2222,,sschwartz@pikecountynews.com,Amy Elliott,Stan Schwartz,,Wed.,Rep
BRANSON TRI-LAKES NEWS,Branson,Branson,www.bransontrilakesnews.com,www.bransontrilakesnews.com,"200 Industrial Park Dr., PO Box 1900, Hollister 65672",(417) 334-3161,,editor@bransontrilakesnews.com,Karen Fioretti,AJ Fahr,,Wed. & Sat.,Rep
LINN COUNTY LEADER,Brookfield,Brookfield,www.linncountyleader.com,www.linncountyleader.com,"PO Box 707, Chillicothe 64601",(660) 858-8700,,ahutschreider@cherryroad.com,Jeremy Gulban,Angie Hutschreider,,Fri.,NP
BUFFALO REFLEX,Buffalo,Buffalo,www.buffaloreflex.com,www.buffaloreflex.com,"114 E. Lincoln St., PO Box 770, Buffalo 65622",(417) 345-2224,,news@buffaloreflex.com,Deanna Moore,Kailyn Smith,,Wed.,Rep
CALIFORNIA DEMOCRAT,California,California,www.californiademocrat.com,www.californiademocrat.com,"PO Box 126, California 65018",(573) 796-2135,,editor@californiademocrat.com,Gary Castor,Kaden Quinn,,Wed.,NP
LAKE SUN,Camdenton,Camdenton,www.lakenewsonline.com,www.lakenewsonline.com,"4075 Osage Beach Pkwy., Ste. 100, Camdenton 65020",(573) 346-2132,,dan.lakesun@gmail.com,Trevor Vernon,Dan Field,,Wed. & Fri.,Rep
"REPORTER, THE",Camdenton,Camdenton,www.theccreporter.com,www.theccreporter.com,"551 Old S. 5, PO Box 1265, Camdenton 65020",(573) 346-5222,,thereporter@socket.net,Dale Johnson,Dale Johnson,,Wed.,Rep
CAMERON CITIZEN-OBSERVER,Cameron,Cameron,www.mycameronnews.com,www.mycameronnews.com,"403 E. Evergreen Hwy. BB, PO Box 498, Cameron 64429",(816) 632-6543,,editor@mycameronnews.com,Amy Keeney,Mike Hanrahan,,Thurs.,Ind
LEWIS COUNTY PRESS-NEWS JOURNAL,Canton,Canton; Lagrange,www.lewispnj.com,www.lewispnj.com,"109 N. Fourth St., LaGrange 63448, PO Box 227, Canton 63435",(573) 288-5668,,rita@lewispnj.com,Rita Cox,Rita Cox,,Thurs.,NP
SOUTHEAST MISSOURIAN,Cape Girardeau,Cape Girardeau,www.semissourian.com,www.semissourian.com,"301 Broadway, PO Box 699, Cape Girardeau 63702",(573) 335-6611,,news@semissourian.com,Jon K. Rust,Rick Fahr,,"Sat., Tue. & Thurs.",NP
JASPER COUNTY CITIZEN,Carl Junction,Carl Junction,,,"101 N. Sixth St., PO Box 400, Sarcoxie 64862",(417) 548-3311,,fstop@centurytel.net,Paul E. Donley,Paul E. Donley,,Wed.,Rep
CARROLLTON DEMOCRAT,Carrollton,Carrollton,www.mainstreetnewsgroup.com,www.mainstreetnewsgroup.com/thecarrolltondemocrat,"102 E. Benton St., PO Box 69, Carrollton 64633",(660) 542-0881,,carrolltondemocrat.news@gmail.com,Frank W. Mercer,Janet Zullig,,Wed.,Dem
CARTHAGE CHRONICLE,Carthage,Carthage,www.carthagenewsonline.com,www.carthagenewsonline.com,"101 N. Sixth St., PO Box 400, Sarcoxie 64862",(417) 548-3311,,fstop@centurytel.net,Paul E. Donley,Paul E. Donley,,Wed.,Rep
PEMISCOT PRESS,Caruthersville,Caruthersville,www.pemiscotpress.com,www.pemiscotpress.com,"1011 N. Truman Blvd., PO Box 1059, Caruthersville 63877",(573) 333-4336,,cwilliams@pemiscotpress.com,Chris Pruett,Christina Williams,,Wed.,Rep
BARRY COUNTY ADVERTISER,Cassville,Cassville,www.4bcaonline.com,www.4bcaonline.com,"201 W. Ninth St., PO Box 488, Cassville 65625",(417) 847-4475,,editor@4bca.com,Karen Fioretti,,,Wed.,Rep
CASSVILLE DEMOCRAT,Cassville,Cassville,www.cassville-democrat.com,www.cassville-democrat.com,"600 Main St., PO Box 486, Cassville 65625",(417) 847-2610,,editor@cassville-democrat.com,Kyle Troutman,Kyle Troutman,,Wed.,Rep
CENTRALIA FIRESIDE GUARD,Centralia,Centralia,www.firesideguard.com,www.firesideguard.com,"123 N. Allen St., PO Box 7, Centralia 65240",(573) 682-2133,,cfged@lcs.net,Jeremy Gulban,James Smith,,Wed.,Rep
CHARLESTON ENTERPRISE-COURIER,Charleston,Charleston,www.enterprisecourier.com,www.enterprisecourier.com,"101 E. Main St., East Prairie 63845",(573) 649-9500,,news@enterprisecourier.com,Carlin Bennett,Adam Rhodes,,Tues.,Rep
WEST & MID RIVERS NEWSMAGAZINE,Chesterfield,Chesterfield; St. Charles,www.westnewsmagazine.com,www.westnewsmagazine.com,"754 Spirit 40 Park Dr., Chesterfield 63005",(636) 591-0010,,editor@newsmagazinenetwork.com,Tim Weber,Kate Uptergrove,,Bi-Monthly on Wed.,Rep
CONSTITUTION-TRIBUNE,Chillicothe,Chillicothe,www.chillicothenews.com,www.chillicothenews.com,"614 Washington St., PO Box 707, Chillicothe 64601",(660) 776-9400,,ahutschreider@cherryroad.com,Jeremy Gulban,Angie Hutschreider,,Fri.,NP
