signal,value,papers,of_those_in_our_data,our_owners,owners_disagree,newspapers,hosts
same email domain,gmail.com,22,10,"Clinton Daily Democrat | Collins, Leslie | John Roberts | Linda Ahern | Richards Neil | Valerie and Roger Dillon | Vernon Publishing | Voss, Jerrilynn | Wilson Robert",yes,"BOONE COUNTY JOURNAL | LAKE SUN | CARROLLTON DEMOCRAT | CLINTON DAILY DEMOCRAT | CONCORDIAN, THE | SHANNON COUNTY CURRENT WAVE | HIGGINSVILLE ADVANCE | HOLDEN IMAGE | KAHOKA HOMETOWN JOURNAL | LAWSON REVIEW | LEE’S SUMMIT TRIBUNE | LINN UNTERRIFIED DEMOCRAT | DEKALB CO. RECORD-HERALD | MILAN STANDARD | FOCUS ON OAK GROVE | ODESSA ODESSAN | KANSAS CITY NORTHEAST NEWS | POTOSI INDEPENDENT JOURNAL | RICH HILL MINING REVIEW | SUMMERSVILLE BEACON | SWEET SPRINGS HERALD | WINDSOR REVIEW",www.bocojo.com | www.lakenewsonline.com | www.mainstreetnewsgroup.com | www.clintondailydemocrat.com | www.currentwave.news | www.mainstreetnewsgroup.com | www.hipaperclips.com | www.htjournal.net | www.facebook.com | www.lstribune.net | www.unterrifieddemocrat.com | www.themilanstandard.com | www.theodessan.net | www.theodessan.net | www.northeastnews.net | www.theijnews.com | www.richhillminingreview.com | www.sbeacon.com | www.clintondailydemocrat.com
same publisher,jeremy gulban,15,11,CherryRoad Media,no,"BOONVILLE NEWS | LINN COUNTY LEADER | CENTRALIA FIRESIDE GUARD | CONSTITUTION-TRIBUNE | ELSBERRY DEMOCRAT, THE | HERMANN ADVERTISER-COURIER | INDEPENDENCE EXAMINER | COURIER TRIBUNE/GLADSTONE DISPATCH | PIKE COUNTY NEWS | MOBERLY MONITOR-INDEX | MONROE CITY LAKE GAZETTE | SAVANNAH REPORTER | THE SOUTH MISSOURIAN NEWS | LINCOLN COUNTY JOURNAL | TROY FREE PRESS",www.boonvilledailynews.com | www.linncountyleader.com | www.firesideguard.com | www.chillicothenews.com | www.elsberrydemocrat.com | www.hermannadvertisercourier.com | www.examiner.net | www.pikecountynews.com | www.moberlymonitor.com | www.lakegazette.net | www.savrep.com | www.lincolnnewsnow.com | www.lincolnnewsnow.com
same email domain,cherryroad.com,10,8,CherryRoad Media,no,"LINN COUNTY LEADER | CONSTITUTION-TRIBUNE | ELSBERRY DEMOCRAT, THE | HERMANN ADVERTISER-COURIER | INDEPENDENCE EXAMINER | PIKE COUNTY NEWS | MARSHALL DEMOCRAT-NEWS | MONROE CITY LAKE GAZETTE | THE SOUTH MISSOURIAN NEWS | LINCOLN COUNTY JOURNAL",www.linncountyleader.com | www.chillicothenews.com | www.elsberrydemocrat.com | www.hermannadvertisercourier.com | www.examiner.net | www.pikecountynews.com | www.marshallnews.com | www.lakegazette.net | www.lincolnnewsnow.com
same publisher,trevor vernon,7,1,Vernon Publishing,no,APPLETON CITY JOURNAL | LAKE SUN | ELDON ADVERTISER | HERMITAGE INDEX | OSCEOLA ST. CLAIR COUNTY COURIER | RICH HILL MINING REVIEW | TIPTON TIMES,www.stclaircourier.com | www.lakenewsonline.com | www.hermitageindex.com | www.richhillminingreview.com | www.tiptontimes.com
same email domain,centurytel.net,6,1,RH Media Group,no,APPLETON CITY JOURNAL | JASPER COUNTY CITIZEN | CARTHAGE CHRONICLE | OSCEOLA ST. CLAIR COUNTY COURIER | SARCOXIE RECORD | CURRENT LOCAL,www.stclaircourier.com | www.carthagenewsonline.com
same email domain,molawyersmedia.com,6,2,BridgeTower Media,no,"COUNTIAN ST. LOUIS, THE | COUNTIAN JEFFERSON, THE | KANSAS CITY DAILY RECORD | ST. CHARLES COUNTY BUSINESS RECORD | ST. LOUIS DAILY RECORD | ST. LOUIS MISSOURI LAWYERS WEEKLY",www.molawyersmedia.com | www.mlmcounties.com | www.mlmcounties.com | www.mlmcounties.com | www.molawyersmedia.com
same publisher,scott hoskins,6,6,Better Newspapers Inc | CherryRoad Media | Ellinghouse Publishing Co. Inc. | Paxton Media Group LLC | Saint Genevieve Media LLC,yes,DOUGLAS COUNTY HERALD | REYNOLDS COUNTY COURIER | FREDERICKTOWN DEMOCRAT-NEWS | IRONTON MOUNTAIN ECHO | PIEDMONT WAYNE CO. JOURNAL-BANNER | STE. GENEVIEVE HERALD,www.douglascountyherald.com | www.reynoldscountycourier.com | www.democratnewsonline.com | www.myironcountynews.com | www.waynecojournalbanner.com | www.stegenherald.com
same editor,jordan yount,5,1,BridgeTower Media,no,"COUNTIAN JEFFERSON, THE | KANSAS CITY DAILY RECORD | ST. CHARLES COUNTY BUSINESS RECORD | ST. LOUIS DAILY RECORD | ST. LOUIS MISSOURI LAWYERS WEEKLY",www.mlmcounties.com | www.mlmcounties.com | www.mlmcounties.com | www.molawyersmedia.com
same editor,mike scott,5,5,"Cheffey Mark & Patty | Feeney Chris | NEMOnews Media Group, LLC. | Sentinel Printing Company | Wilson Robert",yes,THE MEDIA | MEMPHIS DEMOCRAT | MILAN STANDARD | PALMYRA SPECTATOR | SCHUYLER COUNTY TIMES,www.kahokamedia.com | www.memphisdemocrat.com | www.themilanstandard.com | www.palmyra-spectator.com | www.schuylercountytimes.com
same email domain,socket.net,5,1,Reporter Publishing LLC/Dale Johnson,no,"REPORTER, THE | STAR, THE | MOUND CITY NEWS | SLATER MAIN STREET NEWS | WELLSVILLE OPTIC-NEWS",www.theccreporter.com | www.moundcitynews.com | www.slatermainstreetnews.com
same email domain,yahoo.com,5,4,Benton County Enterprise | Blackburn Rick,yes,COLE CAMP COURIER | DIXON PILOT | HALE HORIZONS | LINCOLN NEW ERA | BENTON COUNTY ENTERPRISE,www.bentoncountyenterprise.com | www.dixonpilot.com | www.bentoncountyenterprise.com | www.bentoncountyenterprise.com
same publisher,chris pruett,5,5,Rust Communications,no,"PEMISCOT PRESS | STATESMAN, THE | PROSPECT-NEWS, THE | DELTA DUNKLIN DEMOCRAT | POPLAR BLUFF DAILY AMERICAN REPUBLIC",www.pemiscotpress.com | www.dexterstatesman.com | www.theprospectnews.com | www.dddnews.com | www.darnews.com
same publisher,deanna moore,5,5,Carpenter Media Group,no,"BOLIVAR HERALD-FREE PRESS | BUFFALO REFLEX | MARSHFIELD MAIL | CHRISTIAN COUNTY HEADLINER-NEWS | CEDAR COUNTY REPUBLICAN, STOCKTON",www.bolivarmonews.com | www.buffaloreflex.com | www.marshfieldmail.com | www.ccheadliner.com | www.cedarrepublican.com
same publisher,mike sue scott,5,5,"Feeney Chris | NEMOnews Media Group, LLC. | Sentinel Printing Company | Wilson Robert",yes,"EDINA SENTINEL, THE | THE MEDIA | MEMPHIS DEMOCRAT | MILAN STANDARD | SCHUYLER COUNTY TIMES",www.edinasentinel.com | www.kahokamedia.com | www.memphisdemocrat.com | www.themilanstandard.com | www.schuylercountytimes.com
same publisher,tim schmidt,5,5,CherryRoad Media | The Missourian Publishing Company | Tim Schmidt | Westplex Media Group,yes,MEXICO LEDGER | MONTGOMERY STANDARD | ST. CHARLES COMMUNITY NEWS | ST. LOUIS COMMUNITY NEWS | WARREN COUNTY RECORD,www.mexicoledger.com | www.mystandardnews.com | www.mycnews.com | www.mycnews.com | www.warrencountyrecord.com
same address,503 n second st festus 63028,4,4,Leader Publications Inc.,no,ARNOLD-IMPERIAL LEADER | EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same editor,gregory orear,4,2,CherryRoad Media,no,"ELSBERRY DEMOCRAT, THE | SAVANNAH REPORTER | LINCOLN COUNTY JOURNAL | TROY FREE PRESS",www.elsberrydemocrat.com | www.savrep.com | www.lincolnnewsnow.com | www.lincolnnewsnow.com
same editor,kim robertson,4,4,Leader Publications Inc.,no,ARNOLD-IMPERIAL LEADER | EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same email domain,grm.net,4,2,Bethany Printing Co | Nathan McAllister,yes,BETHANY REPUBLICAN-CLIPPER | JAMESPORT TRI-COUNTY WEEKLY | PRINCETON POST-TELEGRAPH | SHERIDAN EXPRESS,www.bethanyclipper.com | www.jamesporttricountyweekly.com | northmissouriannews.com
same email domain,leaderpublications.biz,4,4,Leader Publications Inc.,no,ARNOLD-IMPERIAL LEADER | EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same publisher,johnny aguirre,4,1,BridgeTower Media,no,"COUNTIAN JEFFERSON, THE | KANSAS CITY DAILY RECORD | ST. CHARLES COUNTY BUSINESS RECORD | ST. LOUIS MISSOURI LAWYERS WEEKLY",www.mlmcounties.com | www.mlmcounties.com | www.molawyersmedia.com
same telephone,6369377501,4,4,Leader Publications Inc.,no,ARNOLD-IMPERIAL LEADER | EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same telephone,8162212552,4,0,(none recorded),yes,JEFFERSON COUNTY REPORTER | KANSAS CITY THE PULSE LEGAL PUBLICATION | ST. CHARLES COUNTY JOURNAL | ST. LOUIS CITY MONITOR,www.pulselegal.com
same website,mainstreetnewsgroup.com,4,0,(none recorded),yes,CARROLLTON DEMOCRAT | GLASGOW MISSOURIAN | HIGGINSVILLE ADVANCE | LEXINGTON NEWS,www.mainstreetnewsgroup.com | www.mainstreetnewsgroup.com | www.mainstreetnewsgroup.com | www.mainstreetnewsgroup.com
same website,myleaderpaper.com,4,4,Leader Publications Inc.,no,ARNOLD-IMPERIAL LEADER | EUREKA LEADER | JEFFERSON COUNTY LEADER | WEST SIDE LEADER,www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com | www.myleaderpaper.com
same address,101 n sixth st sarcoxie 64862,3,1,RH Media Group,no,JASPER COUNTY CITIZEN | CARTHAGE CHRONICLE | SARCOXIE RECORD,www.carthagenewsonline.com
same editor,adam howe,3,3,Benton County Enterprise | Clinton Daily Democrat,yes,CLINTON DAILY DEMOCRAT | COLE CAMP COURIER | WINDSOR REVIEW,www.clintondailydemocrat.com | www.bentoncountyenterprise.com | www.clintondailydemocrat.com
same editor,brandy bourland,3,0,(none recorded),yes,APPLETON CITY JOURNAL | OSCEOLA ST. CLAIR COUNTY COURIER | RICH HILL MINING REVIEW,www.stclaircourier.com | www.richhillminingreview.com
same editor,paul e donley,3,1,RH Media Group,no,JASPER COUNTY CITIZEN | CARTHAGE CHRONICLE | SARCOXIE RECORD,www.carthagenewsonline.com
same editor,stan schwartz,3,3,CherryRoad Media,no,PIKE COUNTY NEWS | PIKE COUNTY NEWS | VANDALIA LEADER,www.pikecountynews.com | www.pikecountynews.com | www.vandalialeader.com
