county,newspapers_2025,newspapers_2024,digital_2025,digital_2024,public_broadcasting_2025,public_broadcasting_2024,ethnic_2025,ethnic_2024,all_outlets_2025,all_outlets_2024
Adair,1,1,0,0,0,0,0,0,1,1
Andrew,1,1,0,0,0,0,0,0,1,1
Atchison,1,1,0,0,0,0,0,0,1,1
Audrain,2,2,0,0,0,0,0,0,2,2
Barry,2,2,0,0,0,0,0,0,2,2
Barton,1,1,0,0,0,0,0,0,1,1
Bates,1,1,0,0,0,0,0,0,1,1
Benton,1,3,0,0,0,0,0,0,1,3
Bollinger,1,1,0,0,0,0,0,0,1,1
Boone,4,4,1,1,2,2,0,0,7,7
Buchanan,1,1,0,0,0,0,0,1,1,2
Butler,1,1,0,0,0,0,0,0,1,1
Caldwell,1,1,0,0,0,0,0,0,1,1
Callaway,1,1,0,0,0,0,0,0,1,1
Camden,2,2,1,0,0,0,0,0,3,2
Cape Girardeau,2,2,0,0,1,1,0,0,3,3
Carroll,3,2,0,0,0,0,0,0,3,2
Carter,2,1,0,0,0,0,0,0,2,1
Cass,2,2,0,0,0,0,0,0,2,2
Cedar,3,3,0,0,0,0,0,0,3,3
Chariton,1,1,0,0,0,0,0,0,1,1
Christian,1,1,0,0,0,0,0,0,1,1
Clark,2,1,0,0,0,0,0,0,2,1
Clay,3,3,1,1,0,0,0,0,4,4
Clinton,2,1,0,0,0,0,0,0,2,1
Cole,1,1,0,0,0,0,0,0,1,1
Cooper,1,1,0,0,0,0,0,0,1,1
Crawford,2,2,0,0,0,0,0,0,2,2
Dade,1,1,0,0,0,0,0,0,1,1
Dallas,1,1,0,0,0,0,0,0,1,1
Daviess,1,1,0,0,0,0,0,0,1,1
DeKalb,1,2,0,0,0,0,0,0,1,2
Dent,1,1,0,0,0,0,0,0,1,1
Douglas,1,1,0,0,0,0,0,0,1,1
Dunklin,1,1,0,0,0,0,0,0,1,1
Franklin,2,2,0,0,0,0,0,0,2,2
Gasconade,2,2,0,0,0,0,0,0,2,2
Gentry,1,1,0,0,0,0,0,0,1,1
Greene,2,3,1,1,1,1,0,0,4,5
Grundy,1,1,0,0,0,0,0,0,1,1
Harrison,1,1,0,0,0,0,0,0,1,1
Henry,1,2,0,0,0,0,0,0,1,2
Hickory,1,1,0,0,0,0,0,0,1,1
Holt,1,1,0,0,0,0,0,0,1,1
Howard,2,2,0,0,0,0,0,0,2,2
Howell,2,2,0,0,0,0,0,0,2,2
Iron,1,1,0,0,0,0,0,0,1,1
Jackson,5,5,3,2,3,1,6,6,17,14
Jasper,4,4,1,1,0,0,0,0,5,5
Jefferson,2,3,0,0,0,0,0,0,2,3
Johnson,2,2,0,0,1,1,0,0,3,3
Knox,1,1,0,0,0,0,0,0,1,1
Laclede,1,1,0,0,0,0,0,0,1,1
Lafayette,5,4,0,0,0,0,0,0,5,4
Lawrence,2,2,0,0,0,0,0,0,2,2
Lewis,1,1,0,0,0,0,0,0,1,1
Lincoln,3,3,0,0,0,0,0,0,3,3
Linn,1,1,0,0,0,0,0,0,1,1
Livingston,1,1,0,0,0,0,0,0,1,1
Macon,1,1,0,0,0,0,0,0,1,1
Madison,1,1,0,0,0,0,0,0,1,1
Maries,1,1,0,0,0,0,0,0,1,1
Marion,2,3,0,0,0,0,0,0,2,3
McDonald,1,1,0,0,0,0,0,0,1,1
Mercer,1,1,0,0,0,0,0,0,1,1
