organization,website,city,county,fips,typeOfOutlet,profitType,topic,language,yearFounded,publisher,memberInn,memberLion,rucc
CoMoBuz,comobuz.com,Columbia,Boone,29019,Local,For-Profit,None,None,2019,BUZ Communications,None,None,3
LakeExpo.com,https://www.lakeexpo.com/,Osage Beach,Camden,29029,Local,For-Profit,None,None,2006,Brent Simpson,None,None,7
Excelsior Citizen,excelsiorcitizen.com,Excelsior Springs,Clay,29047,Local,For-Profit,None,None,2015,Courtney Cole,None,None,1
Springfield Daily Citizen,sgfcitizen.org,Springfield,Greene,29077,Local,Non-Profit,None,None,2021,David Stoeffler,None,None,2
The Beacon,thebeacon.media,Kansas City,Jackson,29095,State,Non-Profit,None,None,2019,The Beacon (MO),None,None,1
Grain Valley News,grainvalleynews.com,Grain Valley,Jackson,29095,Local,For-Profit,None,None,2018,Cory Unrein/ 2023 Grain Valley News,None,None,1
Startland News,https://www.startlandnews.com/,Kansas City,Jackson,29095,Local,Non-Profit,None,None,2015,Startland,None,None,1
Webb City Sentinel,webbcity.net,Webb City,Jasper,29097,Local,Non-Profit,None,None,1937,Zinc City Sentinel Inc.,None,None,3
West Newsmagazine,westnewsmagazine.com,Chesterfield,St. Louis,29189,Local,For-Profit,None,None,None,"West Media, Inc.",None,None,1
40 South News,40southnews.com,Brentwood,St. Louis,29189,Local,For-Profit,None,None,2013,Doug Miner,None,None,1
Mid Rivers Newsmagazine,https://www.midriversnewsmagazine.com/,Chesterfield,St. Louis,29189,Local,For-Profit,None,None,2004,21 Publishing LLC,None,None,1
