newspaperName,city,county,fips,ownerName,ownerType,frequency,daysPublished,totalCirculation,yearAdded,newspaperId
Kirksville Daily Express,Kirksville,Adair,29001,Carpenter Media Group,Regional Baron,W,None,None,None,None
Savannah Reporter,Savannah,Andrew,29003,CherryRoad Media,Regional Baron,W,None,None,None,None
Atchison County Mail,Rock Port,Atchison,29005,W C & Mike Farmer,Independent,W,None,None,None,None
The Vandalia Leader,Vandalia,Audrain,29007,CherryRoad Media,Regional Baron,W,None,None,None,None
Mexico Ledger,Mexico,Audrain,29007,Westplex Media Group,Independent,W,None,None,None,None
Cassville Democrat,Cassville,Barry,29009,Troutman Media LLC,Private,W,None,None,None,None
Barry County Advertiser,Cassville,Barry,29009,Lancaster Management,Private,W,None,None,None,None
Lamar Democrat,Lamar,Barton,29011,Reaves & Williams Publishing Group,Private,W,None,None,None,None
Rich Hill Mining Review,Rich Hill,Bates,29013,Main Street Media,Private,W,None,None,None,None
Benton County Enterprise,Warsaw,Benton,29015,James Mahlon White,Independent,W,None,None,None,None
Banner-Press,Marble Hill,Bollinger,29017,Rust Communications,Private,W,None,None,None,None
Boone County Journal,Ashland,Boone,29019,Missourian Publishing Association,Nonprofit,W,None,None,None,None
Columbia Missourian,Columbia,Boone,29019,Missourian Publishing Association,Nonprofit,D,None,None,None,None
Centralia Fireside Guard,Centralia,Boone,29019,CherryRoad Media,Regional Baron,W,None,None,None,None
Columbia Daily Tribune,Columbia,Boone,29019,Gannett/Gatehouse,Investment,D,None,None,None,None
St. Joseph News-Press,Saint Joseph,Buchanan,29021,News-Press & Gazette Company,Independent,W,None,None,None,None
Daily American Republic,Poplar Bluff,Butler,29023,Rust Communications,Private,D,None,None,None,None
Caldwell County News,Hamilton,Caldwell,29025,L & L Publications Inc.,Independent,W,None,None,None,None
Fulton Sun,Fulton,Callaway,29027,Faughn Media,Private,W,None,None,None,None
Reporter,Camdenton,Camden,29029,Reporter Publishing LLC/Dale Johnson,Independent,W,None,None,None,None
The Lake Sun,Camdenton,Camden,29029,Vernon Publishing Inc.,Independent,W,None,None,None,None
Southeast Missourian,Cape Girardeau,Cape Girardeau,29031,Rust Communications,Private,D,None,None,None,None
Cash-Book Journal/The Weekender,Jackson,Cape Girardeau,29031,Gina Raffety,Independent,W,None,None,None,None
Norborne Democrat-Leader,Norborne,Carroll,29033,Main Street Media,Private,W,None,None,None,None
Hale Horizions,Hale,Carroll,29033,Corf family,Independent,W,None,None,None,None
Carrollton Democrat,Carrollton,Carroll,29033,CherryRoad Media,Private,W,None,None,None,None
Current River Observer,Van Buren,Carter,29035,Taylor Petit,Independent,W,None,None,None,None
Current Local,Van Buren,Carter,29035,Mike Grassham,Independent,W,None,None,None,None
North Cass Herald,Belton,Cass,29037,Laurie Bassett Edmonds and Allen Edmonds,Independent,W,None,None,None,None
Tribune and Times,Harrisonville,Cass,29037,Dennis Minich,Independent,W,None,None,None,None
