geoid,city,county,newspaper
29037,Harrisonville,Cass,Tribune and Times
29041,Salisbury,Chariton,Chariton Marquee
29045,Kahoka,Clark,Kahoka Hometown Journal
29049,Plattsburg,Clinton,"Clinton County Leader, Plattsburg"
29077,Springfield,Greene,Springfield Business Journal
29079,Trenton,Grundy,Trenton Telegraph
29085,Hermitage,Hickory,Hermitage Index
29123,Fredericktown,Madison,Democrat-News
29135,Tipton,Moniteau,Tipton Times
29137,Paris,Monroe,Ralls County Herald-Enterprise
29183,St Charles,St. Charles,Community News
29185,Osceola,St. Clair,Appleton City Journal
29189,Chesterfield,St. Louis,West & Mid Rivers Newsmagazine
