county,fips,medill_count,mpa_count,bluebook_count,our_count,max_minus_ours,all_four_agree,medill_newsrooms,mpa_newsrooms,bluebook_newsrooms,our_newsrooms,mpa_service_area_note
Adair,29001,1,1,1,2,0,no,Kirksville Daily Express,Kirksville Daily Express,Kirksville Daily Express & News,KTVO CBS; Kirksville Daily Express,
Andrew,29003,1,2,1,1,1,no,Savannah Reporter,King City | Tri-County Ledger; Savannah Reporter,Savannah Reporter,The Savannah Reporter,"King City | Tri-County Ledger [Andrew County, DeKalb County, Gentry County]"
Atchison,29005,1,1,1,1,0,yes,Atchison County Mail,Atchison County Mail | Rockport,Atchison County Mail,Atchinson County Mail,
Audrain,29007,2,2,1,2,0,no,Mexico Ledger; The Vandalia Leader,Mexico Ledger; Vandalia Leader,Mexico Ledger,The Mexico Ledger; Vandalia Leader,"Mexico Ledger [Audrain County, Callaway County]"
Barry,29009,2,2,2,3,0,no,Barry County Advertiser; Cassville Democrat,Barry County Advertiser; Cassville Democrat,Barry County Advertiser; Cassville Democrat,Barry County Advertiser; Barry County Advertiser [retired]; Cassville Democrat,
Barton,29011,1,1,1,1,0,yes,Lamar Democrat,Lamar Democrat,Lamar Democrat,Lamar Democrat,
Bates,29013,1,2,0,0,2,no,Rich Hill Mining Review,Rich Hill Mining Review; Tribune and Times,,,"Tribune and Times [Bates County, Cass County]"
Benton,29015,1,0,1,1,0,no,Benton County Enterprise,,Cole Camp Courier,Benton County Enterprise,
Bollinger,29017,1,1,0,1,0,no,Banner-Press,Marble Hill Banner Press,,The Banner Press,
Boone,29019,5,4,4,10,0,no,Boone County Journal; Centralia Fireside Guard; CoMoBuz (digital); Columbia Daily Tribune; Columbia Missourian,Boone County Journal; Centralia Fireside Guard; Columbia Daily Tribune; Columbia Missourian,Boone County Journal; Centralia Fireside Guard; Columbia Daily Tribune; Columbia Missourian,ABC 17 KMIZ News [paused]; Boone County Journal; Centralia Fireside Guard; CoMoBuzz; Columbia Daily Tribune; Columbia Missourian; KBIA; KOMU; Missouri Business Alert; The Maneater,
Buchanan,29021,1,1,1,3,0,no,St. Joseph News-Press,St. Joseph News-Press,St. Joseph News-Press,Griffon News; KQTV; News Press Now,
Butler,29023,1,1,1,1,0,yes,Daily American Republic,Poplar Bluff Daily American Republic,Poplar Bluff Daily American Republic,Daily American Republic,
Caldwell,29025,1,1,1,1,0,yes,Caldwell County News,Caldwell County News,Caldwell County News,The Caldwell County News [retired],
Callaway,29027,1,1,1,2,0,no,Fulton Sun,Fulton Sun,Fulton Sun,KRCG; The Fulton Sun,
Camden,29029,3,2,2,2,1,no,LakeExpo.com (digital); Reporter; The Lake Sun,"Camdenton Reporter; Lake Sun | Osage Beach, Lake Ozark, Camdenton","Lake Sun; Reporter, The",Lake Sun Leader/Lake News Online; The Reporter,
Cape Girardeau,29031,2,3,3,6,0,no,Cash-Book Journal/The Weekender; Southeast Missourian,Cape Girardeau Southeast Missourian; Jackson Cash-Book Journal; Test Organization,"Cash-Book Journal, The; Marble Hill Banner Press; Southeast Missourian",KBSI Fox; KFVS 12; KRCU; Southeast Missourian; The Arrow; The Cash-Book Journal,
Carroll,29033,3,2,2,0,3,no,Carrollton Democrat; Hale Horizions; Norborne Democrat-Leader,Carrollton Democrat; Hale Horizions,Carrollton Democrat; Hale Horizons,Carrollton Democrat,Norborne is closed. Hale Horizons is Facebook only.
Carter,29035,2,1,1,0,2,no,Current Local; Current River Observer,Van Buren Current Local,Current Local,,Van Buren Current Local is closed. Current River Observer is Facebook only.
Cass,29037,2,1,2,2,0,no,North Cass Herald; Tribune and Times,Belton | North Cass Herald,North Cass Herald; Tribune And Times,Cass County News/The North Cass Herald; Tribune and Times,
Cedar,29039,3,3,3,2,1,no,Cedar County Republican/Stockton Journal; El Dorado Springs Sun; Star,El Dorado Springs Star; El Dorado Springs Sun; Stockton Cedar County Republican,"Cedar County Republican, Stockton; El Dorado Springs Sun; Star, The",Cedar County Republican and Stockton Journal; El Dorado Springs Sun,
Chariton,29041,1,1,1,1,0,yes,Chariton Marquee,Chariton Marquee,Chariton Marquee,Chariton Marquee,
Christian,29043,1,1,1,1,0,yes,Christian County Headliner News,Ozark Christian County Headliner-News,Christian County Headliner-News,Christian County Headliner,
Clark,29045,2,2,2,2,0,yes,Kahoka Hometown Journal; The Clark County Media,Kahoka Hometown Journal; Kahoka Media,Kahoka Hometown Journal; The Media,Kahoka Hometown Journal; The Media,
Clay,29047,4,2,3,4,0,no,Courier-Tribune; Excelsior Citizen (digital); Excelsior Springs Standard; Gladstone Dispatch,"Courier-Tribune | Liberty, Kearney, Gladstone; Lawson Review",Courier Tribune/Gladstone Dispatch; Excelsior Springs Standard; Lawson Review,Courier Tribune; Excelsior Citizen; Excelsior Springs Standard; Gladstone Dispatch,"Lawson Review [Clay County, Ray County]"
Clinton,29049,2,2,2,2,0,yes,Citizen Observer; Clinton County Leader,Cameron Citizen-Observer; Plattsburg Clinton County Leader,"Cameron Citizen-Observer; Clinton County Leader, Plattsburg","Citizen Observer; Clinton County Leader, Plattsburg",
Cole,29051,1,1,2,6,0,no,News Tribune,Jefferson City News Tribune,Jefferson City News Tribune; Missouri Independent,Jefferson City News Tribune/News Tribune; Missouri Net; Missouri Scout; The Missouri Independent; The Missouri Times; The Pathway [retired],
Cooper,29053,1,1,1,1,0,yes,Boonville Daily News,Boonville News,Boonville News,Booneville Daily News,
Crawford,29055,2,2,2,1,1,no,Cuba Free Press; Steelville Star-Crawford Mirror,Cuba Free Press; Steelville Star-Crawford Mirror,Cuba Free Press; Steelville Star-Crawford Mirror,Three Rivers Publishing,
Dade,29057,1,1,1,1,0,yes,Vedette,Greenfield Vedette,Greenfield Vedette,Greenfield Vedette,
Dallas,29059,1,1,1,1,0,yes,Buffalo Reflex,Buffalo Reflex,Buffalo Reflex,Buffalo Reflex,
Daviess,29061,1,1,1,1,0,yes,Tri-County Weekly,Jamesport Tri-County Weekly,Jamesport Tri-County Weekly,Tri-County Weekly,
DeKalb,29063,1,1,1,1,0,yes,DeKalb County Record-Herald,Maysville | DeKalb Co. Record-Herald,Dekalb Co. Record-Herald,Northwest Mo Media,DeKalb County Record-Herald is print only
Dent,29065,1,2,1,1,1,no,Salem News,Licking News; Salem News,The Salem News,Salem News Online,"Licking News [Dent County, Phelps County, Texas County]"
Douglas,29067,1,1,1,1,0,yes,Douglas County Herald,Ava Douglas County Herald,Douglas County Herald,Douglas County Herald,
Dunklin,29069,1,1,1,1,0,yes,Delta Dunklin Democrat,Delta Dunklin Democrat,Delta Dunklin Democrat,Delta Dunklin Democrat,
Franklin,29071,2,2,2,2,0,yes,Sullivan Independent News; Washington Missourian,Sullivan Independent News; Washington Missourian,Sullivan Independent News; Washington Missourian,Missourian; Sullivan Independent News [retired],
Gasconade,29073,2,2,2,2,0,yes,Gasconade County Republican; The Hermann Advertiser-Courier,Hermann Advertiser-Courier; Owensville Gasconade Co. Republican,Hermann Advertiser-Courier; Owensville Gasconade Co. Republican,Gasconade County Republican; The Hermann Advertiser Courier,
Gentry,29075,1,0,2,0,2,no,Tri-County Ledger,,Tri-County Ledger; Tri-County Ledger,,Tri-county ledger is Facebook only
Greene,29077,3,4,3,16,0,no,Greene County Commonwealth; Springfield Daily Citizen (digital); Springfield News-Leader,Greene County Commonwealth; Springfield Business Journal; Springfield Daily Events; Springfield News Leader,Springfield Business Journal; Springfield Daily Events; Springfield News-Leader,417 Magazine; Drury Mirror; Greene County Commonwealth; KOLR; KOSP/The Beat [retired]; KSMU Ozarks Public Radio; KSPR/KY3; KSPR/KY3 [retired]; KTTS; Perryville Republic Monitor; Springfield Business Journal; Springfield Daily Citizen; Springfield Neighborhood News; Springfield News-Leader; The Standard; The Standard,
Grundy,29079,1,0,1,1,0,no,Trenton Telegraph,,Trenton Republican-Times,Trenton Telegraph,
Harrison,29081,1,1,1,2,0,no,Bethany Republican-Clipper,Bethany Republican-Clipper,Bethany Republican-Clipper,Bethany Republican Clipper; Sheridan Express,
Henry,29083,1,0,2,1,1,no,Clinton Daily Democrat,,Clinton Daily Democrat; Windsor Review,Clinton Daily Democrat,
Hickory,29085,1,1,1,1,0,yes,The Index,Hermitage Index,Hermitage Index,Hermitage Index,
Holt,29087,1,2,1,0,2,no,Mound City News,Maryville Forum; Mound City News,Mound City News,,"Maryville Forum [Holt County, Nodaway County, Worth County]"
Howard,29089,2,2,2,1,1,no,Fayette Advertiser; Glasgow Missourian,Fayette Advertiser; Glasgow Missourian,Fayette Advertiser; Glasgow Missourian,Fayette Advertiser,
Howell,29091,2,2,2,2,0,yes,West Plains Daily Quill; Willow Springs Howell County News,West Plains Daily Quill; Willow Springs Howell County News,Howell County News; West Plains Daily Quill,Howell County News; West Plains Daily Quill,
Iron,29093,1,1,1,1,0,yes,Mountain Echo,Ironton Mountain Echo,Ironton Mountain Echo,Mountain Echo,
Jackson,29095,8,7,10,21,0,no,Focus on Oak Grove; Grain Valley News (digital); Startland News (digital); The Beacon (digital); The Examiner; The Kansas City Star; The Next Page KC; The Northeast News,Focus on Oak Grove; Independence Examiner; Kansas City Daily Record; Kansas City Globe; Kansas City Northeast News; Kansas City Pulse Legal Publication; Kansas City Star,Focus On Oak Grove; Independence Examiner; Kansas City Beacon; Kansas City Call Newspapers; Kansas City Daily Record; Kansas City Globe; Kansas City Northeast News; Kansas City Star; Kansas City The Pulse Legal Publication; Lee’S Summit Tribune,Carter Broadcast Group (KPRS/KPRT) [retired]; FOX4KC WDAF TV; KC Beacon; KC Defender; KC Magazine; KCMO [retired]; KCTV5; KCUR; KMBC News 9; KSHB 41; Kansas City Call; Lee's Summit Missouri Journal News [retired]; Lee's Summit Tribune; Metro Voice Christian Newspaper; North East News; The Examiner / Examiner Weekend; The Kansas City Globe; The Kansas City Star; The Pitch/Kansas City Pitch; UMKC Roo News; What's Up Kansas City [retired],
Jasper,29097,5,3,4,6,0,no,Carthage Chronicle; Jasper County Citizen; Joplin Globe; The Sarcoxie Record; Webb City Sentinel (digital),Jasper County Citizen and Carthage Chronicle; Joplin Globe; Sarcoxie Record,Carthage Chronicle; Jasper County Citizen; Joplin Globe; Sarcoxie Record,Carthage Press; KOAM; KSN/KODE TV; KZRG; The Chart; The Joplin Globe,
Jefferson,29099,2,6,6,1,5,no,Eureka Leader; Jefferson County Leader,Arnold-Imperial Leader; Eureka Leader; Hillsboro Jefferson County Countian; Jefferson County Leader (Leader Publications); Jefferson County Reporter; West Side Leader,"Arnold-Imperial Leader; Countian Jefferson, The; Eureka Leader; Jefferson County Leader; Jefferson County Reporter; West Side Leader",Leader,"Jefferson County Leader (Leader Publications) [Jefferson County, St Louis County]"
Johnson,29101,2,2,2,4,0,no,Holden Image; The Daily Star-Journal,Holden Image; Warrensburg Star-Journal,Holden Image; Warrensburg Daily Star-Journal,Holden Image; KMBZ [paused]; The Daily BURG [retired]; The Daily Star-Journal,
Knox,29103,1,1,1,1,0,yes,Edina Sentinel,Edina Sentinel,"Edina Sentinel, The",The Edina Sentinel,
Laclede,29105,1,1,1,1,0,yes,Laclede County Record,Laclede County Record,Laclede County Record,The Lebanon/LaClede Daily Record,
Lafayette,29107,5,4,4,1,4,no,Concordia Concordian; Higginsville Advance; Lexington News; Odessan; Santa Fe Times,Concordia Concordian; Higginsville Advance; Lexington News; Odessa Odessan,"Concordian, The; Higginsville Advance; Lexington News; Odessa Odessan",Higginsville Advance,
Lawrence,29109,2,2,2,3,0,no,Aurora Advertiser; Lawrence County Record and continuing The Monett Times,"Aurora Advertiser, The; Mt. Vernon Lawrence Co. Record",Greene County Commonwealth; Mount Vernon Lawrence Co. Record,Aurora Advertiser; Lawrence County Record; The Monett Times [retired],
Lewis,29111,1,1,1,1,0,yes,Canton Press-News Journal,Press-News Journal | Canton & LaGrange,Lewis County Press-News Journal,Press News Journal,
Lincoln,29113,3,2,3,3,0,no,Elsberry Democrat; Lincoln County Journal; Troy Free Press,Elsberry Democrat; Troy Free Press,"Elsberry Democrat, The; Lincoln County Journal; Troy Free Press",Elsberry Democrat; Lincoln County Journal; Troy Free Press,
Linn,29115,1,1,0,1,0,no,Linn County Leader,Linn County Leader | Brookfield,,Linn County Leader,
Livingston,29117,1,1,2,1,1,no,Constitution-Tribune,Chillicothe Constitution-Tribune,Constitution-Tribune; Linn County Leader,Constitution-Tribune,
Macon,29121,1,1,1,1,0,yes,The Home Press,Macon County Home Press,Macon County Home Press & Journal,The Macon County Home Press,
Madison,29123,1,1,1,1,0,yes,Democrat News,Fredericktown Democrat-News,Fredericktown Democrat-News,Democrat-News,
Maries,29125,1,1,1,1,0,yes,Maries County Advocate,Maries County Advocate,Maries County Advocate,Maries County Advocate,
Marion,29127,2,2,1,4,0,no,Hannibal Courier-Post; Palmyra Spectator,Hannibal Courier-Post; Palmyra Spectator,Palmyra Spectator,Hannibal Courier-Post; KHQA 7; Lake Gazette; Palmyra Spectator,
McDonald,29119,1,1,1,1,0,yes,McDonald County Press,Pineville | McDonald County Press,Piedmont Wayne Co. Journal-Banner,McDonald County Press,
Mercer,29129,1,1,1,0,1,no,Princeton Post-Telegraph,Princeton Post-Telegraph,Princeton Post-Telegraph,,
Miller,29131,1,1,2,0,2,no,Eldon Advertiser,Eldon Advertiser,Eldon Advertiser; Lake Expo,,
Mississippi,29133,1,2,2,0,2,no,East Prairie Eagle and Enterprise Courier,Charleston Enterprise-Courier; East Prairie Eagle,Charleston Enterprise-Courier; East Prairie Eagle,,
Moniteau,29135,2,2,2,2,0,yes,California Democrat; Tipton Times,California Democrat; Tipton Times,California Democrat; Tipton Times,California Democrat; Tipton Times,
Monroe,29137,1,1,3,1,2,no,Lake Gazette,Monroe City Lake Gazette,Monroe City Lake Gazette; Monroe County Appeal; Ralls Co Herald-Enterprise,Ralls County Herald-Enterprise,
Montgomery,29139,2,2,2,1,1,no,Montgomery Standard; Wellsville Optic-News,Montgomery Standard; Wellsville Optic-News,Montgomery Standard; Wellsville Optic-News,Montgomery Standard,
Morgan,29141,1,1,1,0,1,no,Morgan County Statesman,Morgan County Statesman,Morgan County Statesman,,
New Madrid,29143,0,1,0,0,1,no,,Sikeston Standard-Democrat,,,"Sikeston Standard-Democrat [New Madrid County, Scott County]"
Newton,29145,2,1,3,2,1,no,Neosho Daily News; Newton County News,Neosho Daily News,"Aurora Advertiser, The; Neosho Daily News; Newton County News, Neosho",Neosho Daily News [paused]; Seneca News Dispatch [retired],
Nodaway,29147,2,0,2,3,0,no,Maryville Forum; Nodaway News Leader,,"Maryville Forum; Nodaway News Leader, Maryville",KXCV; North West Missourian; The Maryville Daily Forum,
Oregon,29149,1,1,1,1,0,yes,South Missourian News,Thayer South Missourian News,The South Missourian News,South Missourian News,
Osage,29151,1,1,1,1,0,yes,Unterrified Democrat,Linn | Unterrified Democrat,Linn Unterrified Democrat,The Unterrified Democrat,
Ozark,29153,1,1,0,1,0,no,Ozark County Times,Gainesville Ozark County Times,,Ozark County Times,
Pemiscot,29155,1,1,1,1,0,yes,Pemiscott Press,Pemiscot Press,Pemiscot Press,Pemiscot Press,
Perry,29157,1,2,2,0,2,no,Republic Monitor,Perryville Republic-Monitor; Perryville | MidAmerica Farmer Grower,"Midamerica Farmer Grower; Republic-Monitor, Perryville",,
Pettis,29159,1,1,1,1,0,yes,Sedalia Democrat,Sedalia Democrat,Sedalia Democrat,The Sedalia Democrat,
Phelps,29161,2,2,2,1,1,no,Phelps County Focus; St. James Press,Phelps County Focus; Saint James Press,Phelps County Focus; Saint James Press,Phelps County Focus,
Pike,29163,2,1,3,1,2,no,Pike County News; The People's Tribune,Pike County News | Bowling Green & Louisiana,Pike County News; Pike County News; Vandalia Leader,Pike County News/Bowling Green Times,
Platte,29165,3,3,3,3,0,yes,Landmark; Platte County Citizen; Weston Chronicle,Platte City Platte County Citizen; Platte County Landmark; Weston Chronicle,Platte County Citizen; Platte County Landmark; Weston Chronicle,The Landmark; The Platte County Citizen; Weston Chronicle [retired],
Polk,29167,1,1,1,1,0,yes,Bolivar Herald-Free Press,Bolivar Herald-Free Press,Bolivar Herald-Free Press,Bolivar Herald Free Press,
Pulaski,29169,2,1,1,3,0,no,Pulaski County Weekly; The Dixon Pilot,Dixon Pilot,Dixon Pilot,Pulaski County Mirror/Daily News [retired]; Pulaski County Weekly; The Dixon Pilot [retired],
Putnam,29171,1,1,1,0,1,no,Unionville Republican,Unionville Republican,Unionville Republican,,
Ralls,29173,1,1,0,0,1,no,Monroe-Ralls,Monroe | Ralls,,,
Randolph,29175,1,1,1,1,0,yes,Moberly Monitor-Index,Moberly Monitor-Index,Moberly Monitor-Index,Moberly Monitor,
Ray,29177,2,1,1,1,1,no,Lawson Review; Richmond Daily News,Richmond News,Richmond News,Richmond Daily News,
Reynolds,29179,1,1,1,2,0,no,Reynolds County Courier,Reynolds County Courier | Ellington,Reynolds County Courier,Reynolds County Courier; Reynolds County Courier/WayNe County Journal Banner,
Ripley,29181,1,1,1,1,0,yes,The Prospect-News,Doniphan Prospect-News,"Prospect-News, The",The Prospect News,
Saline,29195,3,3,3,1,2,no,Marshall Democrat-News; Slater Main Street News; Sweet Springs Herald,Marshall Democrat-News; Slater Main Street News; Sweet Springs Herald,Marshall Democrat-News; Slater Main Street News; Sweet Springs Herald,The Marshall Democrat-News,
Schuyler,29197,1,1,1,1,0,yes,Schuyler County Times,Schuyler County Times,Schuyler County Times,Schuyler County Times,
Scotland,29199,1,1,1,1,0,yes,Memphis Democrat,Memphis Democrat,Memphis Democrat,Memphis Democrat,
Scott,29201,1,0,2,1,1,no,Standard Democrat,,New Madrid Weekly Record; Sikeston Standard-Democrat,Sikeston Standard Democrat,
Shannon,29203,1,1,1,1,0,yes,Current Wave,Eminence Shannon County Current Wave,Shannon County Current Wave,Shannon County Current Wave,
Shelby,29205,1,2,1,1,1,no,Shelby County Herald,Independent Courier | Clarence; Shelbyville | Shelby County Herald,Shelby County Herald,Shelby County Herald,
St. Charles,29183,1,4,4,2,2,no,St. Charles Community News,St. Charles County Business Record; St. Charles County Journal; St. Louis American; West & Mid Rivers Newsmagazine,St. Charles Community News; St. Charles County Business Record; St. Charles County Journal; St. Louis Community News,Community News; Mid Rivers Newsmagazine,"St. Louis American [St Charles County, St Louis County]; West & Mid Rivers Newsmagazine [St Charles County, St Louis County]"
St. Clair,29185,1,1,3,1,2,no,St. Clair Co. Courier,Osceola | St. Clair County Courier & Appleton City Journal,Appleton City Journal; Osceola St. Clair County Courier; Rich Hill Mining Review,Appleton City Journal,
St. Francois,29187,2,1,1,2,0,no,"Daily Journal, Park Hills; Farmington Press",Park Hills Daily Journal,Park Hills Daily Journal,"Daily Journal, Park Hills; My Mo info",
