outlet,city,county,host,type,owner,in_sources,source_status,articles,in_blue_book,web_access
Tri-County Ledger,Albany,,,print native,Matthew Pearl,no,,0,yes,unknown
The Reporter,Camdenton,Camden,www.theccreporter.com,print native,Reporter Publishing LLC/Dale Johnson,yes,active,0,yes,never collected
Carrollton Democrat,Carrollton,,www.mainstreetnewsgroup.com,print native,Frank W. Mercer,no,,0,yes,website gone
West & Mid Rivers Newsmagazine,Chesterfield,St. Louis,www.westnewsmagazine.com,print native,Tim Weber,yes,active,0,yes,never collected
"Concordian, The",Concordia,,,print native,Kathryn Dohrman,no,,0,yes,unknown
Crane Chronicle/Stone County Republican,Crane,,www.cc-scrnews.com,print native,Karen Fioretti,no,,0,yes,website gone
"Star, The",El Dorado Springs,,,print native,James Belk,no,,0,yes,unknown
Eldon Advertiser,Eldon,,,print native,Trevor Vernon,no,,0,yes,unknown
Glasgow Missourian,Glasgow,,www.mainstreetnewsgroup.com,print native,Frank Mercer,no,,0,yes,website gone
Hale Horizons,Hale,,,print native,Cindy Corf,no,,0,yes,unknown
The Caldwell County News,Hamilton,Caldwell,www.mycaldwellcounty.com,print native,L & L publications Inc.,yes,retired,0,yes,never collected
Tribune and Times,Harrisonville,Cass,www.tribuneandtimes.com,print native,Dennis Minich,yes,active,0,yes,never collected
Hermitage Index,Hermitage,Hickory,www.hermitageindex.com,print native,Trevor Vernon,yes,active,0,yes,never collected
"Countian Jefferson, The",Hillsboro,,,print native,Johnny Aguirre,no,,0,yes,unknown
Kahoka Hometown Journal,Kahoka,Clark,www.htjournal.net,print native,Joe & Lisa Roberts,yes,active,0,yes,never collected
Lee's Summit Missouri Journal News,Kansas City,Jackson,kansascity.com,print native,The McClatchy Company,yes,retired,0,yes,never collected
What's Up Kansas City,Kansas City,Jackson,whatsupkansascity.net,digital native,"Carlos M. Nelson, Sr.",yes,retired,0,no,never collected
Tri-County Ledger,King City,,,print native,Matthew Pearl,no,,0,yes,unknown
Lexington News,Lexington,,www.mainstreetnewsgroup.com,print native,Frank Mercer,no,,0,yes,website gone
Courier Tribune/Gladstone Dispatch,Liberty,,,print native,Jeremy Gulban,no,,0,yes,unknown
"Nodaway News Leader, Maryville",Maryville,,www.nodawaynews.com,print native,Kay Wilson,no,,0,yes,website gone
Dekalb Co. Record-Herald,Maysville,,,print native,Terry Pearl,no,,0,yes,unknown
The Monett Times,Monett,Lawrence,www.monett-times.com,print native,Rust Communications,yes,retired,0,no,never collected
"Newton County News, Neosho",Neosho,,,print native,Chad Hayworth,no,,0,yes,unknown
Seneca News Dispatch,Neosho,Newton,thenewsdispatch.net,print native,Sexton Media Group Inc.,yes,retired,0,no,never collected
Appleton City Journal,Osceola,St. Clair,www.stclaircourier.com,print native,Trevor Vernon,yes,active,0,yes,never collected
Ralls County Herald-Enterprise,Paris,Monroe,www.monroe-ralls.com,print native,Robin Gregg,yes,active,0,yes,never collected
"Clinton County Leader, Plattsburg",Plattsburg,Clinton,www.clintoncountyleader.com,print native,Jamey & D’Anna Honeycutt,yes,active,0,yes,never collected
Princeton Post-Telegraph,Princeton,,northmissouriannews.com,print native,Preston Cole,no,,0,yes,website gone
Rich Hill Mining Review,Rich Hill,,www.richhillminingreview.com,print native,Trevor Vernon,no,,0,yes,website gone
Chariton Marquee,Salisbury,Chariton,www.charitonmarquee.com,print native,Melanie Latamondeer,yes,active,0,yes,never collected
KSPR/KY3,Springfield,Greene,ky3.com,video broadcast,Gray Media,yes,retired,0,no,never collected
Springfield Business Journal,Springfield,Greene,www.sbj.net,print native,Marty Goodnight,yes,active,0,yes,never collected
Newstime,St. Louis,St. Louis,www.newstime-mo.com,print native,Lakeway Publishers,yes,retired,0,no,never collected
St. Louis County Ledger,St. Louis,,,print native,John Wingo,no,,0,yes,unknown
Pulaski County Mirror/Daily News,St. Robert,Pulaski,www.pulaskicountydaily.com,print native,Lebanon Publishing Co,yes,retired,0,no,never collected
Sweet Springs Herald,Sweet Springs,,,print native,Kathryn Dohrman,no,,0,yes,unknown
Tipton Times,Tipton,Moniteau,www.tiptontimes.com,print native,Trevor Vernon,yes,active,0,yes,never collected
Trenton Republican-Times,Trenton,,www.republican-times.com,print native,Jamey & D’Anna Honeycutt,no,,0,yes,website gone
Unionville Republican,Unionville,,,print native,Ron Kinzler,no,,0,yes,unknown
Current Local,Van Buren,,,print native,Mike Grassham,no,,0,yes,unknown
Wellsville Optic-News,Wellsville,,,print native,Tracy L. Park,no,,0,yes,unknown
Weston Chronicle,Weston,Platte,www.plattechronicle.com,print native,McPherson Beth,yes,retired,0,yes,never collected
