geoid,city,county,reason,newspaper,host
29009,Cassville,Barry,not attempted in March,Barry County Advertiser,barrycountyadvertiser.com
29037,Belton,Cass,not attempted in March,Cass County News/The North Cass Herald,www.northcassherald.com
29055,Cuba,Crawford,not attempted in March,Three Rivers Publishing,threeriverspublishing.com
29077,Springfield,Greene,not attempted in March,Springfield Neighborhood News,sgfneighborhoodnews.com
29077,Springfield,Greene,not attempted in March,Springfield Daily Citizen,sgfcitizen.org
29093,Ironton,Iron,not attempted in March,Mountain Echo,myironcountynews.com
29095,Kansas City,Jackson,not attempted in March,Kansas City Call,kccallnews.net
29095,Kansas City,Jackson,not attempted in March,KSHB 41,www.kshb.com
29099,Arnold,Jefferson,not attempted in March,Leader,myleaderpaper.com
29101,Holden,Johnson,not attempted in March,Holden Image,hipaperclips.com
29107,Higginsville,Lafayette,not attempted in March,Higginsville Advance,lafayettemonews.com
29123,Fredericktown,Madison,not attempted in March,Democrat-News,democratnewsonline.com
29179,Ellington,Reynolds,not attempted in March,Reynolds County Courier,reynoldscountycourier.com
29197,Lancaster,Schuyler,not attempted in March,Schuyler County Times,schuylercountytimes.com
29203,Eminence,Shannon,not attempted in March,Shannon County Current Wave,currentwave.news
29183,Chesterfield,St. Charles,not attempted in March,Mid Rivers Newsmagazine,midriversnewsmagazine.com
29209,Crane,Stone,not attempted in March,Stone County Republican / Crane Chronicle,stonecountyrepublican.com
29229,Mountain Grove,Wright,not attempted in March,Wright County Journal,wrightcountyjournal.com
29087,Mound City,Holt,replica or print only,Mound City News,www.moundcitynews.com
29095,Oak Grove,Jackson,replica or print only,Focus On Oak Grove,www.theodessan.net
29107,Odessa,Lafayette,replica or print only,Odessa Odessan,www.theodessan.net
29133,Charleston,Mississippi,replica or print only,Charleston Enterprise-Courier,www.enterprisecourier.com
29133,East Prairie,Mississippi,replica or print only,East Prairie Eagle,www.enterprisecourier.com
29141,Versailles,Morgan,replica or print only,Morgan County Statesman,www.morgancountystatesman.com
29195,Slater,Saline,replica or print only,Slater Main Street News,www.slatermainstreetnews.com
29215,Summersville,Texas,replica or print only,Summersville Beacon,www.sbeacon.com
