Counting articles...
id,url,title,author,source,status,reason
Found 20425 non-wire articles to check
Processing batch 0-500...
00186e57-611e-466a-9059-64748a20962d,"https://www.westplainsdailyquill.net/stories/no-14-texas-tech-is-banning-tortilla-throwing-tradition-at-football-games,200451",No. 14 Texas Tech is banning tortilla-throwing tradition at football games,,West Plains Daily Quill,labeled,wire_byline
006651b2-b307-4764-9a52-a662804bb5a4,https://www.standard-democrat.com/world/flight-is-diverted-to-boston-after-a-passenger-stabs-2-teens-with-a-fork-authorities-say-0d43da78,Flight is diverted to Boston after a passenger stabs 2 teens with a fo...,,Sikeston Standard Democrat,labeled,wire_byline
00c53f82-61af-4daf-89c4-72afe809f486,https://www.darnews.com/world/gold-prices-topped-4300-this-week-whats-driving-the-surge-54df4547,"Gold prices topped $4,300 this week. What's driving the surge?",Wyatte Grantham-Philips,Daily American Republic,labeled,wire_byline
00d3b118-590f-4f48-b45d-26f0e4e977e8,https://www.darnews.com/world/trump-pardons-binance-founder-changpeng-zhao-e1cb3fe5,Trump pardons Binance founder Changpeng Zhao,Will Weissert,Daily American Republic,labeled,wire_byline
00d54dca-0593-459d-82d9-a4ec29010ec2,"https://www.westplainsdailyquill.net/stories/ap-news-summary-at-1217-am-edt,200727",AP News Summary at 12:17 a.m. EDT,,West Plains Daily Quill,labeled,wire_byline
00d92ce0-2db4-4d29-8c22-2b8038841a98,https://www.darnews.com/world/trump-administration-announces-another-strike-on-alleged-drug-carrying-boat-in-the-pacific-ocean-ffb1b720,Trump administration announces another strike on alleged drug,Konstantin Toropin,Daily American Republic,labeled,wire_byline
00ea727a-df80-4b4e-8ce9-41435e6d43b1,https://www.kbia.org/2025-10-24/doj-hires-immigration-judges-after-months-of-layoffs,DOJ hires immigration judges after months of layoffs,Ximena Bustillo,KBIA,labeled,copyright
0122df4e-be11-4b9e-b519-570d051796c5,https://www.ksmu.org/2025-10-28/washington-post-editorials-omit-a-key-disclosure-bezos-financial-ties,'Washington Post' editorials omit a key disclosure: Bezos' financial ties,David Folkenflik,KSMU Ozarks Public Radio,opinion,copyright
0223706b-3a83-4cf2-9e70-157ce0c3d0b5,https://www.standard-democrat.com/world/apartment-building-collapse-in-turkey-kills-4-members-of-a-family-647f00eb,Apartment building collapse in Turkey kills 4 members of a family,,Sikeston Standard Democrat,labeled,wire_byline
0296ac10-ba78-46ef-8725-db9a3d90c9f4,https://www.semissourian.com/world/un-nuclear-chief-tells-ap-iran-isnt-actively-enriching-uranium-but-movement-detected-near-stockpile-543ad350,UN nuclear chief tells AP Iran isn't actively enriching uranium but mo...,Farnoush Amiri,Southeast Missourian,labeled,wire_byline
02a0a46c-8240-47c7-905c-961bf0d67bb8,https://www.krcu.org/2025-10-21/5-things-to-know-about-sanae-takaichi-japans-first-female-prime-minister,"5 things to know about Sanae Takaichi, Japan's first female prime minister",Rachel Treisman,KRCU,labeled,copyright
02a164a6-76a1-4c09-95d6-cc4cb832f865,https://www.darnews.com/world/melania-trump-says-8-ukrainian-children-are-reunited-with-families-after-ongoing-talks-with-putin-fe324a08,Melania Trump says 8 Ukrainian children are reunited with families aft...,Darlene Superville,Daily American Republic,labeled,wire_byline
02c7aa32-314b-415a-8bb0-168cd27ee167,https://www.darnews.com/world/11-killed-in-kenya-plane-crash-while-en-route-to-maasai-mara-national-reserve-20f6c5fa,11 killed in Kenya plane crash while en route to Maasai Mara National ...,Evelyne Musambi,Daily American Republic,labeled,wire_byline
02e66c75-b626-4210-8b48-1a5682f40a16,https://www.newspressnow.com/ap/ap-national-entertainment-news/2025/10/14/angel-reese-to-be-first-pro-athlete-to-walk-in-victorias-secret-fashion-show-heres-how-to-watch,Angel Reese to be first pro athlete to walk in Victoria’s Secret Fashion Show. H,,News Press Now,labeled,wire_byline
0335caea-75bb-4bd0-95ed-a62f04006754,https://www.newspressnow.com/ap/ap-world-news/2025/10/12/for-some-israelis-saving-hostages-held-in-gaza-means-freeing-militants-who-killed-their-loved-ones,"For some Israelis, saving hostages held in Gaza means freeing militants who kill",,News Press Now,labeled,wire_byline
0417fce4-de23-4144-977c-0805f3a8f937,https://www.semissourian.com/world/members-of-congress-take-steps-to-tighten-their-own-security-after-kirks-killing-d1eb88b5,Members of Congress take steps to tighten their own security after Kir...,"[""Matt Brown"", ""Stephen Groves""]",Southeast Missourian,labeled,wire_byline
041d980f-4eaa-4743-b719-e42dea5a6e23,https://www.semissourian.com/world/the-louvre-reopens-3-days-after-thieves-took-french-crown-jewels-in-daylight-heist-b1fb405f,The Louvre reopens 3 days after thieves took French crown jewels in da...,Thomas Adamson,Southeast Missourian,labeled,wire_byline
048ba37f-48c4-406a-a5bf-e51d47804428,https://www.darnews.com/world/trump-says-inflation-is-defeated-and-the-fed-has-cut-rates-yet-prices-remain-too-high-for-many-88358f49,"Trump says inflation is 'defeated' and the Fed has cut rates, yet pric...",Christopher Rugaber,Daily American Republic,labeled,wire_byline
04ae9be8-bd51-432a-8491-b1cc7cf0bf95,https://www.kbia.org/2025-10-23/its-the-deadliest-year-for-ice-in-decades-as-detentions-rise-the-trend-may-continue,It's the deadliest year for people in ICE custody in decades; next year could be,"Ximena Bustillo, Rahul Mukherjee",KBIA,labeled,copyright
051ca73a-1347-4094-a56f-4c8379e4b1ac,https://www.darnews.com/world/brad-marchand-steps-away-from-the-panthers-to-help-a-friend-whose-daughter-died-of-cancer-5e7e310a,Brad Marchand steps away from the Panthers to help a friend whose daug...,,Daily American Republic,labeled,wire_byline
0532c615-bde5-44ff-a509-84d35f31be4f,https://www.kbia.org/2025-09-20/top-democrats-ask-for-a-meeting-with-trump-ahead-of-government-shutdown,Top Democrats ask for a meeting with Trump ahead of government shutdown,"[""Barbara Sprunt""]",KBIA,labeled,copyright
053c54c6-e6c8-4608-8f20-7fbbf40b4000,https://www.newspressnow.com/ap/ap-world-news/2025/10/10/some-palestinians-pack-up-and-move-north-toward-their-homes-in-gaza-after-ceasefire-goes-into-effect,Some Palestinians pack up and move north toward their homes in Gaza after ceasef,,News Press Now,labeled,wire_byline
05c7a08e-8d6f-4931-8956-316c66c324c9,https://www.darnews.com/world/peru-wakes-up-to-7th-president-in-less-than-a-decade-after-president-boluarte-ousted-by-congress-b035018e,Peru wakes up to 7th president in less than a decade after President B...,Franklin Briceño,Daily American Republic,labeled,wire_byline
05cd17d5-f02a-4782-a373-70505d34490f,https://www.darnews.com/world/cameroon-heads-to-the-polls-as-the-worlds-oldest-president-bids-to-extend-his-rule-16123451,Cameroon heads to the polls as the world's oldest president bids to ex...,"Nalova Akua, Wilson Mcmakin",Daily American Republic,labeled,wire_byline
0625ae00-24f8-43d3-90e8-a915e2cd23c9,https://www.standard-democrat.com/world/trump-says-hell-send-troops-to-portland-oregon-to-handle-domestic-terrorists-f8659de7,"Trump says he'll send troops to Portland, Oregon, to handle 'domestic ...",Chris Megerian,Sikeston Standard Democrat,labeled,wire_byline
062f68da-9283-40c2-b99b-51363abe5a7f,https://www.newspressnow.com/ap/ap-world-news/2025/10/09/north-koreas-kim-vows-to-build-socialist-paradise-at-celebrations-attended-by-foreign-dignitaries,North Korea’s Kim vows to build a ‘socialist paradise’ ahead of a likely militar,,News Press Now,labeled,wire_byline
0636ed76-c6d7-4194-a17d-9504a17536a0,https://www.kfvs12.com/2025/10/31/trump-says-senate-should-scrap-filibuster-end-government-shutdown,Trump says Senate should scrap the filibuster to end the government shutdown,Lisa Mascaro Congressional,KFVS 12,labeled,wire_byline
06b18c07-e704-40f9-9d89-866720b24f92,https://www.newspressnow.com/ap/ap-missouri-news/2025/09/27/what-to-know-about-the-new-suspect-identified-in-texas-infamous-yogurt-shop-killings,What to know about the new suspect identified in Texas’ infamous yogurt shop kil,,News Press Now,labeled,wire_byline
Processing batch 500-1000...
06bb4e13-9b35-4773-b2d5-01ab63c5739d,https://www.darnews.com/world/huge-raid-on-rio-gang-leaves-at-least-10-people-dead-and-80-under-arrest-25d6122a,Huge raid on Rio gang leaves at least 10 people dead and 80 under arre...,"Diarlei Rodrigues, Eléonore Hughes",Daily American Republic,labeled,wire_byline
06c7a98f-7b0c-4164-b22f-0e8549b42092,https://www.darnews.com/world/the-grand-egyptian-museum-showcasing-50000-artifacts-is-finally-opening-aed6788f,"The Grand Egyptian Museum showcasing 50,000 artifacts is finally openi...",Samy Magdy,Daily American Republic,labeled,wire_byline
