,article_id,url,title,author,source,extracted_at,detected_status,confidence,service,reason,evidence
,1de23d38-d6e4-4396-9d39-b2d3d9ad10b7,https://www.maryvilleforum.com/news/state_news/everybody-loves-raymond-how-the-reunion-addressed-sawyer-sweeten-s-suicide/article_91387fa7-be6f-5ec9-9643-444f069113f5.html,‘Everybody Loves Raymond’: How the Reunion Addressed Sawyer Sweeten’s Suicide,"Meaghan Darwish, Tv Insider",The Maryville Daily Forum,08:50.0,local,,,,
,7972ecfb-76b6-400b-8bd7-e5d10b49ab95,https://www.joplinglobe.com/ap/sports/agate/arizona-state-87-texas-86/article_ec151c5b-0fad-5bca-aadf-182e0e2d650c.html,"ARIZONA STATE 87, TEXAS 86",Sportradar,The Joplin Globe,04:47.5,local,,,,
,dcde5735-3329-44ac-ae3d-fea2ddea04e2,https://www.nevadadailymail.com/story/3065476.html,Decorating the courthouse,Dawn Jones,The Nevada Daily Mail,03:57.2,local,,,,
,a622f343-2891-4422-99fc-bb7b1fce744c,https://www.phelpscountyfocus.com/faith/article_4c05e30d-a67d-5e7b-b30f-4f5e805d4682.html,‘No Kings’ lifestyle,Dr. Bob Bretsch Rolla Pastor,Phelps County Focus,57:46.9,local,,,,
,21241bae-2101-46aa-985c-1e460b18377f,https://www.kcur.org/news/2025-11-25/ice-missouri-afghan-taliban-deportation-arrest,Afghan asylum seeker who fought the Taliban is being held by ICE in a Missouri jail,Mary Sanchez,KCUR,52:48.7,local,,,,
,d5d38ef0-e1fe-4f9c-b8c8-c9be0d1f9757,https://www.columbiamissourian.com/opinion/darkow/marjorie-taylor-greene-out-in-the-cold/article_b2a3fcf3-933f-41d5-b16e-3898d9996991.html,Marjorie Taylor Greene out in the cold,John Darkow,Columbia Missourian,48:48.0,local,,,,
,362983f0-0085-4f04-87c1-c4cee3c61c0f,https://www.newstribune.com/news/2025/nov/25/commentary-burisma-meet-your-brother-binance,"COMMENTARY: Burisma, meet your brother Binance",Debra Saunders,Jefferson City News Tribune/News Tribune,48:46.6,local,,,,
,ca632a91-2b76-4db9-a97e-2a009e8ff657,https://krcgtv.com/news/local/boone-county-men-arrested-in-cooper-county-sting-operation-targeting-child-enticement,Boone County men arrested in Cooper County sting operation targeting child enticement,Jennifer Weiser,KCRG,48:41.5,local,,,,
x,555b702c-14c7-4ebd-b970-6a6c8f086eb1,https://www.kbia.org/2025-11-24/trump-and-chinas-leader-xi-jinping-hold-a-call-and-discuss-trade-taiwan-and-ukraine,"Trump and China's leader Xi Jinping hold a call and discuss trade, Taiwan and Ukraine",Emily Feng,KBIA,48:40.4,local,,,,
,13b8d600-317f-4048-87a7-4b55228acc58,https://www.columbiamissourian.com/news/mark-marik-3-puts-the-lid-on-his-marker/image_32233d81-c479-47f5-8c74-d215b85c8ad7.html,"Mark Marik, 3, puts the lid on his marker",Annie George,Columbia Missourian,46:10.0,local,,,,
x,af20db38-e35f-4e38-99c5-89e600fedade,https://www.maryvilleforum.com/news/state_news/everybody-loves-raymond-team-says-no-one-came-close-to-doris-roberts-in-auditions-for/article_298dac05-9c7a-54db-850a-206ffa706abe.html,‘Everybody Loves Raymond’ Team Says ‘No One Came Close to Doris Roberts’ in Auditions for Marie,"Meaghan Darwish, Tv Insider",The Maryville Daily Forum,46:08.5,local,,,,
,70ef8ff0-38ea-4808-ac0b-32c63b9fde9e,https://www.phelpscountyfocus.com/weather/article_275f7297-450c-430c-aa75-cf5eaf0d1064.html,Rolla weather data at 7:30 a.m. Nov. 6-10,Weather Insider,Phelps County Focus,45:38.6,local,,,,
x,1b4c146d-c31e-42fb-ac77-88fc4cbc3ca9,https://www.krcu.org/2025-11-24/pentagon-investigates-sen-mark-kelly-for-telling-troops-to-refuse-illegal-orders,Pentagon investigates Sen. Mark Kelly for telling troops to refuse 'illegal orders',Scott Neuman,KRCU,44:45.8,local,,,,
x,d9f02eaf-0e2d-482f-ae27-b4e6b665b137,https://www.ksmu.org/2025-11-25/utah-gov-cox-appealed-for-civility-after-charlie-kirks-murder-did-america-listen,Utah Gov. Cox appealed for civility after Charlie Kirk's murder. Did America listen?,Steve Inskeep,KSMU Ozarks Public Radio,44:44.4,local,,,,
,43b95ef3-6ccc-4812-a0c7-cb7710977a8e,https://www.boonvilledailynews.com/mfa-oil-upgrades-pilot-grove-petro-card-24-station,MFA Oil upgrades Pilot Grove Petro,Laura Wax,Booneville Daily News,38:44.4,local,,,,
x,a909fd41-1e9a-4e5d-9e83-1dd19432b3b9,https://www.kansascity.com/news/nation-world/national/article313093269.html,"U.S. formally labels Maduro a terrorist, opening door to expanded military action",Antonio María Delgado,The Kansas City Star,38:41.5,local,,,,
x,02cf12ea-1609-4074-b87e-23ad6a1d3906,"https://www.kirksvilledailyexpress.com/stories/nesbitt-named-glvc-coach-of-the-year,28331",Nesbitt named GLVC Coach of the Year,Truman Athletics & Henry Janssen,Kirksville Daily Express,35:13.9,local,,,,
,066cc401-32f6-443c-99fb-d5f4b9ff0ba5,https://krcgtv.com/sports/college/missouri-wrestling-loses-close-battle-with-illinois-on-home-mat,Missouri Wrestling loses close battle with Illinois on home mat,Bryan Hudnell,KCRG,19:09.1,local,,,,
,4d4d0a29-9358-45f9-bee2-b2f80bb82def,https://krcgtv.com/news/local/former-dixon-r-1-teacher-sentenced-to-ten-years-for-sexually-abusing-a-student,1 teacher sentenced to ten years for sexually abusing a student,Jennifer Weiser,KCRG,01:12.3,local,,,,
,4857e2a8-8ea5-40a8-a91b-d5419f880c05,https://www.newspressnow.com/kmiz-local-news/2025/11/24/local-doctor-offers-healthy-eating-tips-ahead-of-thanksgiving,Expert offers healthy eating tips ahead of Thanksgiving,"Karl.Sanford, Npg Content Share",News Press Now,01:08.9,local,,,,
